block_number,token_balance
18759246,52447.49857182833
18752106,52420.36088194288
18744966,52573.51577108534
18737826,52983.668117953326
18730686,53085.82447946521
18723546,53005.41736055049
18716406,53158.00816631753
18709266,52971.92030871941
18702126,52990.22930558973
18694986,53350.30297962946
18687846,53540.69128249129
18680706,53328.5327607097
18673566,53325.28709081331
18666426,53396.47247358825
18659286,53386.59957130808
18652146,53593.86853922613
18645006,53172.95403239877
18637866,53826.59749667326
18630726,53958.70158718931
18623586,53968.467296674455
18616446,53806.100411765
18609306,53913.5012598554
18602166,53826.956883550825
18595026,53965.19910013917
18587886,53793.12001026838
18580746,53799.80218977632
18573606,54407.19580683447
18566466,54419.76339950812
18559326,56968.347247999176
18552186,57086.60556792574
18545046,57486.202793325865
18537906,57222.1007920146
18530766,57148.67286439568
18523626,57439.34146120321
18516486,60341.57157574348
18509346,60399.844555282776
18502206,60378.19411230709
18495066,60240.358700658144
18487926,60469.81609325144
18480786,60733.769491237756
18473646,60773.225118040624
18466506,61012.86123324129
18459366,61020.39326307972
18452226,61258.31500483413
18445086,60621.72900581662
18437946,60677.48142725848
18430806,60572.97173298358
18423666,60787.83770175661
18416526,60661.6142182952
18409386,60929.718636452526
18402246,61043.98835086599
18395106,63117.918087179045
18387966,62987.32362039078
18380826,63357.83031365327
18373686,63232.11342532225
18366546,63289.095036431994
18359406,63871.027353353646
18352266,63785.815370065706
18345126,64084.52527091515
18337986,63876.23441932428
18330846,63796.4057887207
18323706,63580.99508996133
18316566,64026.98451746834
18309426,64136.00993501788
18302286,64068.749891947125
18295146,63892.832392078606
18288006,64202.03004388886
18280866,64241.02017930957
18273726,64176.74484911032
18266586,64229.01798850323
18259446,64159.34791458359
18252306,64659.1023659987
18245166,64453.30225448665
18238026,77661.92463283647
18230886,78780.49259053463
18223746,79354.70335888476
18216606,79734.83484022587
18209466,79579.32728150648
18202326,79535.37166851878
18195186,79462.0121721841
18188046,79685.89696687
18180906,79666.06299968455
18173766,79611.12070622708
18166626,79560.49919528553
18159486,79659.05151732238
18152346,79842.38926102672
18145206,79842.27576463779
18138066,79775.23294082549
18130926,79782.5807142421
18123786,80056.07312644056
18116646,80466.83150959233
18109506,85519.80101980752
18102366,85819.73182362503
18095226,85662.15666362256
18088086,85521.6548646353
18080946,86361.81820526274
18073806,86114.00933994797
18066666,85713.09206151964
18059526,99921.27380829545
18052386,99949.14181452691
18045246,100506.2029255835
18038106,100694.9469116735
18030966,101121.12252446557
18023826,101064.51517968511
18016686,101510.61923223654
18009546,101969.12158391024
18002406,102045.39301104458
17995266,102723.44649249442
17988126,103377.82487468416
17980986,102231.2865821874
17973846,102277.44565237979
17966706,101999.55489193153
17959566,102490.53913989771
17952426,100698.29316801915
17945286,100957.5921394864
17938146,101976.11875138158
17931006,101534.71687253776
17923866,101531.23425038482
17916726,103628.4852761016
17909586,104263.24108376799
17902446,104295.80187573945
17895306,108923.20847703278
17888166,109350.54455171993
17881026,109385.35812489234
17873886,105875.18828797982
17866746,106745.35675153552
17859606,105597.98670496687
17852466,105675.89830714212
17845326,105632.93503232492
17838186,100338.99991804907
17831046,100715.77954424534
17823906,103724.81666565897
17816766,108070.34808896916
