block_number,token_balance
18759246,687.3948589808953
18752106,163.83662178636484
18744966,159.80306784439705
18737826,172.7794227927819
18730686,549.069069167369
18723546,593.2235952792006
18716406,611.09391783492
18709266,641.950197286643
18702126,672.6630812682953
18694986,704.140509823554
18687846,742.1683503156604
18680706,760.3538490113997
18673566,685.3191938280469
18666426,625.7506944528681
18659286,642.3618520444824
18652146,747.5719688764854
18645006,733.1711266284848
18637866,786.4528319981712
18630726,1262.9588851142662
18623586,1187.0593206151154
18616446,1638.1904953681576
18609306,1531.5434671718601
18602166,1630.9768262509904
18595026,1486.0947248563243
18587886,1508.3350215013418
18580746,1409.422589698944
18573606,1470.6225229695021
18566466,1412.6628593616404
18559326,1461.680081763064
18552186,1823.3903024874726
18545046,1812.9918584541558
18537906,1922.109526067576
18530766,1302.3453879754231
18523626,1313.1765291159215
18516486,1375.2929838173236
18509346,442.65505036591145
18502206,1783.7898639560156
18495066,1795.2675146193521
18487926,1749.7088684113262
18480786,1888.8298595739861
18473646,776.0513818520134
18466506,800.3767752950268
18459366,823.1787886184779
18452226,899.7546189953047
18445086,826.21541325273
18437946,368.2374637995089
18430806,803.3460944219473
18423666,843.185939315154
18416526,941.820711366228
18409386,950.53651995743
18402246,937.7499512918542
18395106,698.9589730216179
18387966,661.3506843513236
18380826,1022.2285260686792
18373686,499.3487375615612
18366546,439.73800859710605
18359406,230.8643764864555
18352266,188.3953555340631
18345126,140.55508213328514
18337986,154.34921313665228
18330846,28.511916371863375
18323706,141.60387995585745
18316566,139.85887182845866
18309426,167.65402474337895
18302286,178.96980475635561
18295146,703.6446036754469
18288006,362.5405079310875
18280866,355.3194407949789
18273726,376.3519532528674
18266586,373.1326391281772
18259446,434.299595071018
18252306,435.6245035301252
18245166,909.2819397384204
18238026,805.6872933657592
18230886,456.2609861044717
18223746,433.9352767760385
18216606,811.0447185799613
18209466,868.4263551632956
18202326,904.3984497392677
18195186,839.6200037463681
18188046,843.9895864601419
18180906,925.5616334208157
18173766,902.3248573974626
18166626,0.2115968369246966
18159486,16.102235488075454
18152346,39.0218237298747
18145206,49.783448499746704
18138066,373.0087405663425
18130926,760.4986994372754
18123786,731.9023464696771
18116646,726.7543020177272
18109506,352.22380234956427
18102366,362.8734373904726
18095226,279.3245689613498
18088086,248.81760857157883
18080946,227.88965852093668
18073806,243.23414918985884
18066666,444.0375723624256
18059526,464.4460044546219
18052386,989.6312028832976
18045246,1052.7614840411177
18038106,1392.4001423368843
18030966,1413.2892535244487
18023826,1238.9849487485708
18016686,1105.6477456907078
18009546,1050.2221113058333
18002406,1067.8890103927395
17995266,1019.1704253424256
17988126,738.9903270186206
17980986,409.94603475572126
17973846,496.3465075525794
17966706,1389.5673312990864
17959566,1008.8437422550746
17952426,1069.8480154287095
17945286,1216.2870496332905
17938146,1233.555905973583
17931006,1400.0264635745418
17923866,1515.562545645902
17916726,1498.3645873386286
17909586,1560.8151578451493
17902446,1415.5791833219794
17895306,1309.3164042287701
17888166,1221.2985516505225
17881026,998.3786132237415
17873886,947.8909483482375
17866746,885.5383871737248
17859606,741.1958271918867
17852466,466.53556507669805
17845326,580.8643084456912
17838186,336.5911772998854
17831046,446.5849288458396
17823906,246.32220576938482
17816766,395.926164762093
