,date,token,price
0,2023-12-11,SWETH,1.0172485147501489
1,2023-12-10,SWETH,1.0226699582416032
2,2023-12-09,SWETH,1.0213541872968463
3,2023-12-08,SWETH,1.029312646940879
4,2023-12-07,SWETH,1.0206585511217905
5,2023-12-06,SWETH,1.0196934607492
6,2023-12-05,SWETH,1.0153247491878212
7,2023-12-04,SWETH,1.0201181589709745
8,2023-12-03,SWETH,1.022397160024871
9,2023-12-02,SWETH,1.0251775709839366
10,2023-12-01,SWETH,1.0201479142029313
11,2023-11-30,SWETH,1.0252318889339838
12,2023-11-29,SWETH,1.0269531143958903
13,2023-11-28,SWETH,1.0209201072111245
14,2023-11-27,SWETH,1.0253503748191088
15,2023-11-26,SWETH,1.021889742690948
16,2023-11-25,SWETH,1.0237002712495
17,2023-11-24,SWETH,1.0236228011678596
18,2023-11-23,SWETH,1.023156458344767
19,2023-11-22,SWETH,1.025981439451891
20,2023-11-21,SWETH,1.0263748981040506
21,2023-11-20,SWETH,1.0204537432274658
22,2023-11-19,SWETH,1.0225910694936753
23,2023-11-18,SWETH,1.013636302260473
24,2023-11-17,SWETH,1.0126231692767482
25,2023-11-16,SWETH,1.010961432560267
26,2023-11-15,SWETH,1.0133905317223366
27,2023-11-14,SWETH,1.01595477939582
28,2023-11-13,SWETH,1.0144321422106557
29,2023-11-12,SWETH,1.014154436075137
30,2023-11-11,SWETH,1.013636582448753
31,2023-11-10,SWETH,1.0128665614184926
32,2023-11-09,SWETH,1.0089499416920509
33,2023-11-08,SWETH,1.0090669028631218
34,2023-11-07,SWETH,1.0106638700646036
35,2023-11-06,SWETH,1.0124135883774803
36,2023-11-05,SWETH,1.0227376205232617
37,2023-11-04,SWETH,1.0198057341980094
38,2023-11-03,SWETH,1.0180020932667584
39,2023-11-02,SWETH,1.013842247192562
40,2023-11-01,SWETH,1.0067599855665248
41,2023-10-31,SWETH,1.0064193221920212
42,2023-10-30,SWETH,1.0072694827234916
43,2023-10-29,SWETH,1.0072271692395518
44,2023-10-28,SWETH,1.0068998327635006
45,2023-10-27,SWETH,1.0068552729180518
46,2023-10-26,SWETH,1.0066710594521693
47,2023-10-25,SWETH,1.007219515945238
48,2023-10-24,SWETH,1.0090974582513774
49,2023-10-23,SWETH,1.006327531009561
50,2023-10-22,SWETH,1.007448116082009
51,2023-10-21,SWETH,1.0079834645573196
52,2023-10-20,SWETH,1.0070616796972245
53,2023-10-19,SWETH,1.006217750501361
54,2023-10-18,SWETH,1.006985774830907
55,2023-10-17,SWETH,1.0069727465613014
56,2023-10-16,SWETH,1.0069483796496328
57,2023-10-15,SWETH,1.0080429780760682
58,2023-10-14,SWETH,1.0072537279254703
59,2023-10-13,SWETH,1.0082286434024177
60,2023-10-12,SWETH,1.008820185016566
61,2023-10-11,SWETH,1.0092354558203351
62,2023-10-10,SWETH,1.0102208906778103
63,2023-10-09,SWETH,1.0111039675748197
64,2023-10-08,SWETH,1.0095232579380216
65,2023-10-07,SWETH,1.009243234662622
66,2023-10-06,SWETH,1.011738529712663
67,2023-10-05,SWETH,1.010166284172147
68,2023-10-04,SWETH,1.006706799947459
69,2023-10-03,SWETH,1.0056984199216752
70,2023-10-02,SWETH,1.010184273801456
71,2023-10-01,SWETH,1.0135258759783317
72,2023-09-30,SWETH,1.011512454954001
73,2023-09-29,SWETH,1.0108859488482649
74,2023-09-28,SWETH,1.0108723583312276
75,2023-09-27,SWETH,1.008296353419578
76,2023-09-26,SWETH,1.0107479446505936
77,2023-09-25,SWETH,1.0099689970789472
78,2023-09-24,SWETH,1.010724783968433
79,2023-09-23,SWETH,1.0114408078760184
80,2023-09-22,SWETH,1.011680716826967
81,2023-09-21,SWETH,1.0104544199071035
82,2023-09-20,SWETH,1.011929522291189
83,2023-09-19,SWETH,1.014202483629261
84,2023-09-18,SWETH,1.0200106966134574
85,2023-09-17,SWETH,1.0220283614519887
86,2023-09-16,SWETH,1.021775855083734
87,2023-09-15,SWETH,1.0233749132487298
88,2023-09-14,SWETH,1.0234849379546602
89,2023-09-13,SWETH,1.0239434599497286
90,2023-09-12,SWETH,1.0227895978771742
91,2023-09-11,SWETH,1.0236644301008728
92,2023-09-10,SWETH,1.0235752257526487
93,2023-09-09,SWETH,1.0222936520898291
94,2023-09-08,SWETH,1.022604991569544
95,2023-09-07,SWETH,1.0225925683263926
96,2023-09-06,SWETH,1.0223948085993324
97,2023-09-05,SWETH,1.0227388376798
98,2023-09-04,SWETH,1.023611955428248
99,2023-09-03,SWETH,1.0237128487820006
100,2023-09-02,SWETH,1.023401576070429
101,2023-09-01,SWETH,1.023159628995217
102,2023-08-31,SWETH,1.0238712129146073
103,2023-08-30,SWETH,1.0234112281738343
104,2023-08-29,SWETH,1.0230164062426907
105,2023-08-28,SWETH,1.02339897720497
106,2023-08-27,SWETH,1.0233824985536242
107,2023-08-26,SWETH,1.0234149598000504
108,2023-08-25,SWETH,1.02196719288272
109,2023-08-24,SWETH,1.0233561248161298
110,2023-08-23,SWETH,1.0235419363759228
111,2023-08-22,SWETH,1.0242683917801072
112,2023-08-21,SWETH,1.0236310380609102
113,2023-08-20,SWETH,1.023540743982044
114,2023-08-19,SWETH,1.0232377477911645
115,2023-08-18,SWETH,1.025024828701992
116,2023-08-17,SWETH,1.024126247993137
117,2023-08-16,SWETH,1.0239447403606932
118,2023-08-15,SWETH,1.0238471614628413
119,2023-08-14,SWETH,1.0239926858653814
120,2023-08-13,SWETH,1.0239451040069767
121,2023-08-12,SWETH,1.023837420367513
122,2023-08-11,SWETH,1.0238672225031564
