date_yyyymmdd,token,vs_currency,close_price
20231211,SWETH,eth,1.0172485147501489
20231210,SWETH,eth,1.0226699582416032
20231209,SWETH,eth,1.0213541872968463
20231208,SWETH,eth,1.0293126469408793
20231207,SWETH,eth,1.0206585511217903
20231206,SWETH,eth,1.0196934607492
20231205,SWETH,eth,1.0153247491878212
20231204,SWETH,eth,1.0201181589709745
20231203,SWETH,eth,1.022397160024871
20231202,SWETH,eth,1.0251775709839366
20231201,SWETH,eth,1.0201479142029313
20231130,SWETH,eth,1.0252318889339838
20231129,SWETH,eth,1.0269531143958905
20231128,SWETH,eth,1.0209201072111243
20231127,SWETH,eth,1.0253503748191088
20231126,SWETH,eth,1.021889742690948
20231125,SWETH,eth,1.0237002712495
20231124,SWETH,eth,1.0236228011678596
20231123,SWETH,eth,1.023156458344767
20231122,SWETH,eth,1.0259814394518907
20231121,SWETH,eth,1.0263748981040506
20231120,SWETH,eth,1.0204537432274658
20231119,SWETH,eth,1.0225910694936753
20231118,SWETH,eth,1.013636302260473
20231117,SWETH,eth,1.0126231692767482
20231116,SWETH,eth,1.010961432560267
20231115,SWETH,eth,1.0133905317223366
20231114,SWETH,eth,1.01595477939582
20231113,SWETH,eth,1.0144321422106555
20231112,SWETH,eth,1.0141544360751367
20231111,SWETH,eth,1.013636582448753
20231110,SWETH,eth,1.0128665614184926
20231109,SWETH,eth,1.0089499416920507
20231108,SWETH,eth,1.0090669028631218
20231107,SWETH,eth,1.0106638700646036
20231106,SWETH,eth,1.0124135883774803
20231105,SWETH,eth,1.0227376205232617
20231104,SWETH,eth,1.0198057341980094
20231103,SWETH,eth,1.0180020932667584
20231102,SWETH,eth,1.0138422471925619
20231101,SWETH,eth,1.0067599855665248
20231031,SWETH,eth,1.0064193221920212
20231030,SWETH,eth,1.0072694827234916
20231029,SWETH,eth,1.0072271692395518
20231028,SWETH,eth,1.0068998327635006
20231027,SWETH,eth,1.0068552729180518
20231026,SWETH,eth,1.0066710594521693
20231025,SWETH,eth,1.007219515945238
20231024,SWETH,eth,1.0090974582513774
20231023,SWETH,eth,1.006327531009561
20231022,SWETH,eth,1.007448116082009
20231021,SWETH,eth,1.0079834645573196
20231020,SWETH,eth,1.0070616796972245
20231019,SWETH,eth,1.006217750501361
20231018,SWETH,eth,1.006985774830907
20231017,SWETH,eth,1.0069727465613014
20231016,SWETH,eth,1.0069483796496328
20231015,SWETH,eth,1.0080429780760682
20231014,SWETH,eth,1.0072537279254703
20231013,SWETH,eth,1.0082286434024177
20231012,SWETH,eth,1.008820185016566
20231011,SWETH,eth,1.0092354558203351
20231010,SWETH,eth,1.0102208906778105
20231009,SWETH,eth,1.0111039675748197
20231008,SWETH,eth,1.0095232579380216
20231007,SWETH,eth,1.0092432346626221
20231006,SWETH,eth,1.0117385297126633
20231005,SWETH,eth,1.010166284172147
20231004,SWETH,eth,1.006706799947459
20231003,SWETH,eth,1.0056984199216752
20231002,SWETH,eth,1.010184273801456
20231001,SWETH,eth,1.0135258759783317
20230930,SWETH,eth,1.011512454954001
20230929,SWETH,eth,1.0108859488482649
20230928,SWETH,eth,1.0108723583312276
20230927,SWETH,eth,1.008296353419578
20230926,SWETH,eth,1.0107479446505936
20230925,SWETH,eth,1.0099689970789472
20230924,SWETH,eth,1.010724783968433
20230923,SWETH,eth,1.0114408078760184
20230922,SWETH,eth,1.011680716826967
20230921,SWETH,eth,1.0104544199071035
20230920,SWETH,eth,1.011929522291189
20230919,SWETH,eth,1.0142024836292607
20230918,SWETH,eth,1.0200106966134574
20230917,SWETH,eth,1.0220283614519887
20230916,SWETH,eth,1.021775855083734
20230915,SWETH,eth,1.0233749132487298
20230914,SWETH,eth,1.0234849379546602
20230913,SWETH,eth,1.0239434599497286
20230912,SWETH,eth,1.0227895978771742
20230911,SWETH,eth,1.0236644301008728
20230910,SWETH,eth,1.0235752257526487
20230909,SWETH,eth,1.0222936520898291
20230908,SWETH,eth,1.0226049915695439
20230907,SWETH,eth,1.0225925683263926
20230906,SWETH,eth,1.0223948085993324
20230905,SWETH,eth,1.0227388376798001
20230904,SWETH,eth,1.023611955428248
20230903,SWETH,eth,1.0237128487820006
20230902,SWETH,eth,1.023401576070429
20230901,SWETH,eth,1.023159628995217
20230831,SWETH,eth,1.0238712129146073
20230830,SWETH,eth,1.0234112281738343
20230829,SWETH,eth,1.0230164062426907
20230828,SWETH,eth,1.02339897720497
20230827,SWETH,eth,1.0233824985536242
20230826,SWETH,eth,1.0234149598000504
20230825,SWETH,eth,1.0219671928827199
20230824,SWETH,eth,1.0233561248161298
20230823,SWETH,eth,1.0235419363759228
20230822,SWETH,eth,1.0242683917801072
20230821,SWETH,eth,1.0236310380609102
20230820,SWETH,eth,1.023540743982044
20230819,SWETH,eth,1.0232377477911645
20230818,SWETH,eth,1.0250248287019919
20230817,SWETH,eth,1.024126247993137
20230816,SWETH,eth,1.0239447403606932
20230815,SWETH,eth,1.0238471614628413
20230814,SWETH,eth,1.0239926858653814
20230813,SWETH,eth,1.0239451040069767
20230812,SWETH,eth,1.0238374203675127
20230811,SWETH,eth,1.0238672225031564
20230810,SWETH,eth,1.0234656387296082
20230809,SWETH,eth,1.023683015347495
20230808,SWETH,eth,1.0236290448312113
20230807,SWETH,eth,1.0236325266889357
20230806,SWETH,eth,1.0236108883776365
20230805,SWETH,eth,1.023340982549103
20230804,SWETH,eth,1.0236840420831357
20230803,SWETH,eth,1.024190933064188
20230802,SWETH,eth,1.0233141228155624
20230801,SWETH,eth,1.0234662047773002
