block_number,token_balance
18759246,4121.448309760047
18752106,4389.655707374709
18744966,4461.5545936568915
18737826,4358.57376463225
18730686,4255.827156029517
18723546,4204.408654156022
18716406,4189.948812166014
18709266,4128.494353461025
18702126,4118.652109049937
18694986,3965.6607147126283
18687846,3893.163362649787
18680706,3716.085732158629
18673566,3772.944311911074
18666426,3833.7514752590696
18659286,3820.5453221071257
18652146,3721.1996488101104
18645006,3858.5196900349815
18637866,3815.8333059179004
18630726,3365.664176490044
18623586,3614.06875133469
18616446,3285.1668695891203
18609306,3444.6304862417
18602166,3353.311900921043
18595026,3619.0362062778654
18587886,3638.1913509228634
18580746,3740.226430769389
18573606,3689.553756271771
18566466,3825.899131159304
18559326,3637.618164651125
18552186,3790.9179690411083
18545046,3812.8747449684324
18537906,3734.7973670144884
18530766,4351.183772391128
18523626,4348.109947866748
18516486,4308.637443546969
18509346,5239.35541240782
18502206,3691.643667972421
18495066,3683.6043583320406
18487926,3709.0721554882825
18480786,3774.724696992801
18473646,4982.933242141781
18466506,4961.017510619309
18459366,4944.605449433261
18452226,4871.676559694746
18445086,4954.846679357473
18437946,5248.1949144072805
18430806,5261.587744704555
18423666,5402.811423804881
18416526,5380.086848764718
18409386,5626.260022455845
18402246,5632.014694265043
18395106,5854.039312063307
18387966,5964.95668517577
18380826,5629.241825921315
18373686,5955.202805606953
18366546,6008.222514956896
18359406,6204.575645878774
18352266,6293.177919769216
18345126,6311.020345498057
18337986,6491.3810572147995
18330846,6626.1639795603405
18323706,6818.7698938469675
18316566,6864.5670386729325
18309426,6787.389431587891
18302286,6790.403591536257
18295146,6270.237317225699
18288006,6610.312269651237
18280866,6627.71627987754
18273726,6612.851812091837
18266586,6601.767690726875
18259446,6585.066531670449
18252306,6475.788868704823
18245166,6031.500054684667
18238026,6139.836537158276
18230886,6498.28953181605
18223746,6506.219726488843
18216606,6250.551487967853
18209466,6196.561401274512
18202326,6171.1071074024885
18195186,6238.292222032175
18188046,5782.774219582415
18180906,5817.535657683741
18173766,5906.100380779833
18166626,6861.286330493487
18159486,7148.100318845717
18152346,7135.949851146622
18145206,7108.803066279213
18138066,7042.079195932612
18130926,6591.872116873545
18123786,6633.386936808991
18116646,6643.461685340629
18109506,7043.229390411647
18102366,7038.460987453809
18095226,7066.819243318993
18088086,7167.154346998077
18080946,7186.975228187982
18073806,7321.267613446858
18066666,7166.389283899449
18059526,7160.328851409258
18052386,7228.248248658557
18045246,7186.856092515027
18038106,7127.277386053561
18030966,7158.255850976165
18023826,7616.868354446017
18016686,7905.443037057874
18009546,7965.082880525148
18002406,7945.100317966542
17995266,8004.816316273764
17988126,8285.474452103159
17980986,8665.220143444762
17973846,8507.880521958585
17966706,7585.001705354151
17959566,8032.628057307956
17952426,8051.047110195271
17945286,8001.494450561238
17938146,7934.546278457592
17931006,7859.942652804735
17923866,7942.720006146038
17916726,7974.200623671541
17909586,7924.683026729037
17902446,7820.473539217059
17895306,7888.603923102879
17888166,7944.11656934044
17881026,8025.828890011037
17873886,8051.193494060679
17866746,8070.050061979399
17859606,8275.481036658379
17852466,8584.999813224742
17845326,8431.72564318042
17838186,8578.928390356992
17831046,8414.325591632627
17823906,8518.570159660601
17816766,8562.607383614155
